1,2012-12-21,123
2,2012-09-02,125
3,2012-06-19,120
4,2012-03-26,120
5,2012-02-24,116
6,2012-01-26,112
7,2012-01-18,115
8,2011-10-10,105
9,2011-08-26,102
10,2011-07-10,102
11,2011-06-11,102
12,2011-05-07,97
13,2011-03-12,97
14,2010-12-18,88
15,2010-12-06,88
16,2010-07-06,85
17,2010-05-11,82
18,2010-04-22,82
19,2010-03-14,80
20,2010-02-17,77.5
21,2010-02-06,77.5
22,2010-01-08,77.5
23,2009-11-17,77.5
24,2009-03-03,77.5
25,2009-02-02,77.5
26,2008-12-26,80.5
27,2008-12-03,85.5
28,2008-11-01,90
29,2008-10-25,95
30,2008-06-09,100
31,2008-06-04,80
32,2008-05-14,80
33,2007-12-26,80
34,2007-12-06,73.5
35,2007-11-08,73.5
36,2007-10-25,73.5
37,2007-10-25,73.5
38,2007-08-05,67.25
39,2007-04-10,67.25
40,2006-10-31,67.25
41,2006-09-26,67.25
42,2006-03-03,67.25
43,2006-02-17,67
44,2005-08-18,67
45,2005-06-21,62
46,2005-02-12,62
47,2005-01-10,62
48,2004-07-19,56
49,2004-08-12,56
50,2003-05-08,54
51,2003-04-20,56
52,2003-03-25,56
53,2002-11-23,52
54,2001-01-17,46
55,2000-11-16,47
56,2000-10-14,47
57,2000-05-28,40
58,1999-10-27,40
59,1999-01-14,40
60,1998-07-17,40
61,1997-07-11,39
62,1997-06-25,39
63,1997-06-13,39
64,1997-04-15,34
65,1996-08-17,34
66,1996-06-16,34
67,1996-07-11,34
68,1996-04-04,31
